# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        328.66391809       1.33373811e-14    -1.209173371264e-03     2.312805225348e-03     3.464145336085e-03
        329.90415929      -4.84829606e-15    -1.209121964807e-03     2.328515236717e-03     3.469406717473e-03
        331.14440049      -7.87571813e-15    -1.209040360822e-03     2.339035998162e-03     3.475903059461e-03
        332.38464169       1.39687271e-14    -1.208920835548e-03     2.344184894338e-03     3.483551386882e-03
        333.62488289      -5.67775428e-15    -1.208752416670e-03     2.343770590076e-03     3.492246864283e-03
        334.86512409       8.91649187e-15    -1.208558460832e-03     2.337730137154e-03     3.501869976552e-03
        336.10536529       1.30040913e-14    -1.208334473589e-03     2.326106688297e-03     3.512303547972e-03
        337.34560649      -9.68819537e-15    -1.208053013056e-03     2.309043132801e-03     3.523427618150e-03
        338.58584769       1.29767512e-14    -1.207735840700e-03     2.286761000181e-03     3.535135678592e-03
        339.82608889      -1.23644747e-14    -1.207392397853e-03     2.259404409217e-03     3.547283365283e-03
        341.06633009       8.28871625e-15    -1.206987047348e-03     2.227181517073e-03     3.559661672272e-03
        342.30657129       3.58699376e-15    -1.206530942682e-03     2.190598573279e-03     3.572088510627e-03
        343.54681249      -1.01942866e-14    -1.206074615185e-03     2.150288233899e-03     3.584428211040e-03
        344.78705369       3.28846319e-15    -1.205627378451e-03     2.106834918638e-03     3.596535383193e-03
        346.02729489      -1.09889001e-14    -1.205163060017e-03     2.060897982553e-03     3.608226048975e-03
        347.26753609       3.64287611e-15    -1.204695440225e-03     2.013144461377e-03     3.619320710369e-03
        348.50777729       1.39009291e-14    -1.204234636457e-03     1.964265899299e-03     3.629615908499e-03
        349.74801849       1.18569485e-14    -1.203814555851e-03     1.914938519421e-03     3.638994956374e-03
        350.98825969       1.06438653e-14    -1.203445176489e-03     1.865873758420e-03     3.647390597861e-03
        352.22850089      -7.36374556e-15    -1.203112246398e-03     1.817928156864e-03     3.654682817913e-03
